No_of_crime,Location,Offences,Year
1015,Manawatu Area,"Fraud, deception and related offences",1994
1078,Manawatu Area,Illicit drug offences,1994
286,Manawatu Area,Prohibited and regulated weapons and explosives offences,1994
675,Manawatu Area,Property damage and environmental pollution,1994
1049,Manawatu Area,Public order offences,1994
429,Manawatu Area,"Offences against justice procedures, government security and government operations",1994
46,Manawatu Area,Miscellaneous offences,1994
2,Taranaki Area,Homicide and related offences,1994
642,Taranaki Area,Acts intended to cause injury,1994
50,Taranaki Area,Sexual assault and related offences,1994
71,Taranaki Area,Dangerous or negligent acts endangering persons,1994
131,Taranaki Area,"Abduction, harassment and other related offences against a person",1994
21,Taranaki Area,"Robbery, extortion and related offences",1994
451,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",1994
1566,Taranaki Area,Theft and related offences,1994
425,Taranaki Area,"Fraud, deception and related offences",1994
609,Taranaki Area,Illicit drug offences,1994
125,Taranaki Area,Prohibited and regulated weapons and explosives offences,1994
509,Taranaki Area,Property damage and environmental pollution,1994
694,Taranaki Area,Public order offences,1994
209,Taranaki Area,"Offences against justice procedures, government security and government operations",1994
13,Taranaki Area,Miscellaneous offences,1994
3,Whanganui Area,Homicide and related offences,1994
715,Whanganui Area,Acts intended to cause injury,1994
29,Whanganui Area,Sexual assault and related offences,1994
15,Whanganui Area,Dangerous or negligent acts endangering persons,1994
151,Whanganui Area,"Abduction, harassment and other related offences against a person",1994
23,Whanganui Area,"Robbery, extortion and related offences",1994
291,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",1994
1239,Whanganui Area,Theft and related offences,1994
359,Whanganui Area,"Fraud, deception and related offences",1994
530,Whanganui Area,Illicit drug offences,1994
176,Whanganui Area,Prohibited and regulated weapons and explosives offences,1994
442,Whanganui Area,Property damage and environmental pollution,1994
667,Whanganui Area,Public order offences,1994
214,Whanganui Area,"Offences against justice procedures, government security and government operations",1994
20,Whanganui Area,Miscellaneous offences,1994
11,Wellington District,Homicide and related offences,1994
2827,Wellington District,Acts intended to cause injury,1994
133,Wellington District,Sexual assault and related offences,1994
64,Wellington District,Dangerous or negligent acts endangering persons,1994
562,Wellington District,"Abduction, harassment and other related offences against a person",1994
119,Wellington District,"Robbery, extortion and related offences",1994
1350,Wellington District,"Unlawful entry with intent/burglary, break and enter",1994
2280,Wellington District,"Fraud, deception and related offences",1994
2035,Wellington District,Illicit drug offences,1994
500,Wellington District,Prohibited and regulated weapons and explosives offences,1994
1584,Wellington District,Property damage and environmental pollution,1994
2373,Wellington District,Public order offences,1994
69,Wellington District,Miscellaneous offences,1994
6,Tasman District,Homicide and related offences,1994
825,Tasman District,Acts intended to cause injury,1994
62,Tasman District,Sexual assault and related offences,1994
55,Tasman District,Dangerous or negligent acts endangering persons,1994
9,Tasman District,"Robbery, extortion and related offences",1994
429,Tasman District,"Unlawful entry with intent/burglary, break and enter",1994
1570,Tasman District,Theft and related offences,1994
705,Tasman District,"Fraud, deception and related offences",1994
909,Tasman District,Illicit drug offences,1994
566,Tasman District,Property damage and environmental pollution,1994
1196,Tasman District,Public order offences,1994
232,Tasman District,"Offences against justice procedures, government security and government operations",1994
41,Tasman District,Miscellaneous offences,1994
0,Marlborough Area,Homicide and related offences,1994
24,Marlborough Area,Sexual assault and related offences,1994
9,Marlborough Area,Dangerous or negligent acts endangering persons,1994
60,Marlborough Area,"Abduction, harassment and other related offences against a person",1994
2,Marlborough Area,"Robbery, extortion and related offences",1994
