No_of_crime,Location,Offences,Year
48,Hawkes Bay Area,Dangerous or negligent acts endangering persons,1998
259,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",1998
56,Hawkes Bay Area,"Robbery, extortion and related offences",1998
496,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",1998
1744,Hawkes Bay Area,Theft and related offences,1998
552,Hawkes Bay Area,"Fraud, deception and related offences",1998
204,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,1998
647,Hawkes Bay Area,Property damage and environmental pollution,1998
1364,Hawkes Bay Area,Public order offences,1998
679,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",1998
30,Hawkes Bay Area,Miscellaneous offences,1998
0,Tairawhiti Area,Homicide and related offences,1998
451,Tairawhiti Area,Acts intended to cause injury,1998
28,Tairawhiti Area,Sexual assault and related offences,1998
16,Tairawhiti Area,Dangerous or negligent acts endangering persons,1998
117,Tairawhiti Area,"Abduction, harassment and other related offences against a person",1998
7,Tairawhiti Area,"Robbery, extortion and related offences",1998
815,Tairawhiti Area,Theft and related offences,1998
176,Tairawhiti Area,"Fraud, deception and related offences",1998
516,Tairawhiti Area,Illicit drug offences,1998
173,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,1998
339,Tairawhiti Area,Property damage and environmental pollution,1998
581,Tairawhiti Area,Public order offences,1998
265,Tairawhiti Area,"Offences against justice procedures, government security and government operations",1998
36,Tairawhiti Area,Miscellaneous offences,1998
4,Manawatu Area,Homicide and related offences,1998
1040,Manawatu Area,Acts intended to cause injury,1998
50,Manawatu Area,Sexual assault and related offences,1998
26,Manawatu Area,Dangerous or negligent acts endangering persons,1998
285,Manawatu Area,"Abduction, harassment and other related offences against a person",1998
44,Manawatu Area,"Robbery, extortion and related offences",1998
622,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",1998
2093,Manawatu Area,Theft and related offences,1998
1329,Manawatu Area,Illicit drug offences,1998
292,Manawatu Area,Prohibited and regulated weapons and explosives offences,1998
713,Manawatu Area,Property damage and environmental pollution,1998
1073,Manawatu Area,Public order offences,1998
715,Manawatu Area,"Offences against justice procedures, government security and government operations",1998
28,Manawatu Area,Miscellaneous offences,1998
0,Taranaki Area,Homicide and related offences,1998
710,Taranaki Area,Acts intended to cause injury,1998
39,Taranaki Area,Sexual assault and related offences,1998
22,Taranaki Area,Dangerous or negligent acts endangering persons,1998
187,Taranaki Area,"Abduction, harassment and other related offences against a person",1998
314,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",1998
1250,Taranaki Area,Theft and related offences,1998
428,Taranaki Area,"Fraud, deception and related offences",1998
966,Taranaki Area,Illicit drug offences,1998
153,Taranaki Area,Prohibited and regulated weapons and explosives offences,1998
561,Taranaki Area,Property damage and environmental pollution,1998
1183,Taranaki Area,Public order offences,1998
423,Taranaki Area,"Offences against justice procedures, government security and government operations",1998
33,Taranaki Area,Miscellaneous offences,1998
2,Whanganui Area,Homicide and related offences,1998
565,Whanganui Area,Acts intended to cause injury,1998
33,Whanganui Area,Sexual assault and related offences,1998
12,Whanganui Area,Dangerous or negligent acts endangering persons,1998
173,Whanganui Area,"Abduction, harassment and other related offences against a person",1998
27,Whanganui Area,"Robbery, extortion and related offences",1998
399,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",1998
148,Whanganui Area,"Fraud, deception and related offences",1998
677,Whanganui Area,Illicit drug offences,1998
165,Whanganui Area,Prohibited and regulated weapons and explosives offences,1998
346,Whanganui Area,Property damage and environmental pollution,1998
616,Whanganui Area,Public order offences,1998
464,Whanganui Area,"Offences against justice procedures, government security and government operations",1998
19,Whanganui Area,Miscellaneous offences,1998
5,Wellington District,Homicide and related offences,1998
2804,Wellington District,Acts intended to cause injury,1998
131,Wellington District,Sexual assault and related offences,1998
83,Wellington District,Dangerous or negligent acts endangering persons,1998
112,Wellington District,"Robbery, extortion and related offences",1998
935,Wellington District,"Unlawful entry with intent/burglary, break and enter",1998
1090,Wellington District,"Fraud, deception and related offences",1998
2017,Wellington District,Illicit drug offences,1998
463,Wellington District,Prohibited and regulated weapons and explosives offences,1998
1496,Wellington District,Property damage and environmental pollution,1998
3211,Wellington District,Public order offences,1998
1795,Wellington District,"Offences against justice procedures, government security and government operations",1998
72,Wellington District,Miscellaneous offences,1998
2,Tasman District,Homicide and related offences,1998
883,Tasman District,Acts intended to cause injury,1998
52,Tasman District,Sexual assault and related offences,1998
28,Tasman District,Dangerous or negligent acts endangering persons,1998
248,Tasman District,"Abduction, harassment and other related offences against a person",1998
31,Tasman District,"Robbery, extortion and related offences",1998
325,Tasman District,"Unlawful entry with intent/burglary, break and enter",1998
1369,Tasman District,Theft and related offences,1998
659,Tasman District,"Fraud, deception and related offences",1998
1127,Tasman District,Illicit drug offences,1998
271,Tasman District,Prohibited and regulated weapons and explosives offences,1998
599,Tasman District,Property damage and environmental pollution,1998
1226,Tasman District,Public order offences,1998
325,Tasman District,"Offences against justice procedures, government security and government operations",1998
54,Tasman District,Miscellaneous offences,1998
1,Marlborough Area,Homicide and related offences,1998
277,Marlborough Area,Acts intended to cause injury,1998
15,Marlborough Area,Sexual assault and related offences,1998
11,Marlborough Area,Dangerous or negligent acts endangering persons,1998
10,Marlborough Area,"Robbery, extortion and related offences",1998
121,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",1998
238,Marlborough Area,"Fraud, deception and related offences",1998
286,Marlborough Area,Illicit drug offences,1998
77,Marlborough Area,Prohibited and regulated weapons and explosives offences,1998
190,Marlborough Area,Property damage and environmental pollution,1998
426,Marlborough Area,Public order offences,1998
102,Marlborough Area,"Offences against justice procedures, government security and government operations",1998
15,Marlborough Area,Miscellaneous offences,1998
1,Nelson Bays Area,Homicide and related offences,1998
411,Nelson Bays Area,Acts intended to cause injury,1998
22,Nelson Bays Area,Sexual assault and related offences,1998
9,Nelson Bays Area,Dangerous or negligent acts endangering persons,1998
111,Nelson Bays Area,"Abduction, harassment and other related offences against a person",1998
15,Nelson Bays Area,"Robbery, extortion and related offences",1998
119,Nelson Bays Area,"Unlawful entry with intent/burglary, break and enter",1998
677,Nelson Bays Area,Theft and related offences,1998
343,Nelson Bays Area,"Fraud, deception and related offences",1998
480,Nelson Bays Area,Illicit drug offences,1998
110,Nelson Bays Area,Prohibited and regulated weapons and explosives offences,1998
246,Nelson Bays Area,Property damage and environmental pollution,1998
496,Nelson Bays Area,Public order offences,1998
147,Nelson Bays Area,"Offences against justice procedures, government security and government operations",1998
29,Nelson Bays Area,Miscellaneous offences,1998
0,West Coast Area,Homicide and related offences,1998
195,West Coast Area,Acts intended to cause injury,1998
15,West Coast Area,Sexual assault and related offences,1998
8,West Coast Area,Dangerous or negligent acts endangering persons,1998
49,West Coast Area,"Abduction, harassment and other related offences against a person",1998
6,West Coast Area,"Robbery, extortion and related offences",1998
85,West Coast Area,"Unlawful entry with intent/burglary, break and enter",1998
78,West Coast Area,"Fraud, deception and related offences",1998
361,West Coast Area,Illicit drug offences,1998
84,West Coast Area,Prohibited and regulated weapons and explosives offences,1998
163,West Coast Area,Property damage and environmental pollution,1998
304,West Coast Area,Public order offences,1998
76,West Coast Area,"Offences against justice procedures, government security and government operations",1998
10,West Coast Area,Miscellaneous offences,1998
6,Canterbury District,Homicide and related offences,1998
2577,Canterbury District,Acts intended to cause injury,1998
152,Canterbury District,Sexual assault and related offences,1998
83,Canterbury District,Dangerous or negligent acts endangering persons,1998
749,Canterbury District,"Abduction, harassment and other related offences against a person",1998
142,Canterbury District,"Robbery, extortion and related offences",1998
1245,Canterbury District,"Unlawful entry with intent/burglary, break and enter",1998
2228,Canterbury District,"Fraud, deception and related offences",1998
2535,Canterbury District,Illicit drug offences,1998
722,Canterbury District,Prohibited and regulated weapons and explosives offences,1998
1975,Canterbury District,Property damage and environmental pollution,1998
3133,Canterbury District,Public order offences,1998
1435,Canterbury District,"Offences against justice procedures, government security and government operations",1998
184,Canterbury District,Miscellaneous offences,1998
2,Otago Coastal Area,Homicide and related offences,1998
809,Otago Coastal Area,Acts intended to cause injury,1998
56,Otago Coastal Area,Sexual assault and related offences,1998
50,Otago Coastal Area,Dangerous or negligent acts endangering persons,1998
281,Otago Coastal Area,"Abduction, harassment and other related offences against a person",1998
37,Otago Coastal Area,"Robbery, extortion and related offences",1998
367,Otago Coastal Area,"Unlawful entry with intent/burglary, break and enter",1998
1863,Otago Coastal Area,Theft and related offences,1998
1278,Otago Coastal Area,Illicit drug offences,1998
234,Otago Coastal Area,Prohibited and regulated weapons and explosives offences,1998
682,Otago Coastal Area,Property damage and environmental pollution,1998
1596,Otago Coastal Area,Public order offences,1998
443,Otago Coastal Area,"Offences against justice procedures, government security and government operations",1998
65,Otago Coastal Area,Miscellaneous offences,1998
1,Otago Lakes Central Area,Homicide and related offences,1998
154,Otago Lakes Central Area,Acts intended to cause injury,1998
5,Otago Lakes Central Area,Sexual assault and related offences,1998
4,Otago Lakes Central Area,Dangerous or negligent acts endangering persons,1998
34,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",1998
7,Otago Lakes Central Area,"Robbery, extortion and related offences",1998
118,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",1998
348,Otago Lakes Central Area,Theft and related offences,1998
351,Otago Lakes Central Area,Illicit drug offences,1998
36,Otago Lakes Central Area,Prohibited and regulated weapons and explosives offences,1998
101,Otago Lakes Central Area,Property damage and environmental pollution,1998
481,Otago Lakes Central Area,Public order offences,1998
49,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",1998
32,Otago Lakes Central Area,Miscellaneous offences,1998
2,Southland Area,Homicide and related offences,1998
572,Southland Area,Acts intended to cause injury,1998
51,Southland Area,Sexual assault and related offences,1998
56,Southland Area,Dangerous or negligent acts endangering persons,1998
150,Southland Area,"Abduction, harassment and other related offences against a person",1998
22,Southland Area,"Robbery, extortion and related offences",1998
577,Southland Area,"Unlawful entry with intent/burglary, break and enter",1998
1456,Southland Area,Theft and related offences,1998
360,Southland Area,"Fraud, deception and related offences",1998
211,Southland Area,Prohibited and regulated weapons and explosives offences,1998
756,Southland Area,Property damage and environmental pollution,1998
1417,Southland Area,Public order offences,1998
412,Southland Area,"Offences against justice procedures, government security and government operations",1998
126,Southland Area,Miscellaneous offences,1998
11,Northland District,Homicide and related offences,1999
1047,Northland District,Acts intended to cause injury,1999
65,Northland District,Sexual assault and related offences,1999
15,Northland District,Dangerous or negligent acts endangering persons,1999
276,Northland District,"Abduction, harassment and other related offences against a person",1999
38,Northland District,"Robbery, extortion and related offences",1999
538,Northland District,"Unlawful entry with intent/burglary, break and enter",1999
1658,Northland District,Theft and related offences,1999
458,Northland District,"Fraud, deception and related offences",1999
290,Northland District,Prohibited and regulated weapons and explosives offences,1999
791,Northland District,Property damage and environmental pollution,1999
1178,Northland District,Public order offences,1999
954,Northland District,"Offences against justice procedures, government security and government operations",1999
53,Northland District,Miscellaneous offences,1999
5,Waitemata District,Homicide and related offences,1999
2204,Waitemata District,Acts intended to cause injury,1999
132,Waitemata District,Sexual assault and related offences,1999
39,Waitemata District,Dangerous or negligent acts endangering persons,1999
640,Waitemata District,"Abduction, harassment and other related offences against a person",1999
75,Waitemata District,"Robbery, extortion and related offences",1999
581,Waitemata District,"Unlawful entry with intent/burglary, break and enter",1999
2808,Waitemata District,Theft and related offences,1999
1080,Waitemata District,"Fraud, deception and related offences",1999
1989,Waitemata District,Illicit drug offences,1999
498,Waitemata District,Prohibited and regulated weapons and explosives offences,1999
1206,Waitemata District,Property damage and environmental pollution,1999
2879,Waitemata District,Public order offences,1999
910,Waitemata District,"Offences against justice procedures, government security and government operations",1999
88,Waitemata District,Miscellaneous offences,1999
5,Auckland District,Homicide and related offences,1999
2087,Auckland District,Acts intended to cause injury,1999
50,Auckland District,Sexual assault and related offences,1999
27,Auckland District,Dangerous or negligent acts endangering persons,1999
379,Auckland District,"Abduction, harassment and other related offences against a person",1999
115,Auckland District,"Robbery, extortion and related offences",1999
834,Auckland District,"Unlawful entry with intent/burglary, break and enter",1999
3182,Auckland District,Theft and related offences,1999
1217,Auckland District,"Fraud, deception and related offences",1999
2467,Auckland District,Illicit drug offences,1999
1266,Auckland District,Property damage and environmental pollution,1999
1467,Auckland District,"Offences against justice procedures, government security and government operations",1999
253,Auckland District,Miscellaneous offences,1999
10,Counties/Manukau District,Homicide and related offences,1999
3223,Counties/Manukau District,Acts intended to cause injury,1999
86,Counties/Manukau District,Sexual assault and related offences,1999
52,Counties/Manukau District,Dangerous or negligent acts endangering persons,1999
709,Counties/Manukau District,"Abduction, harassment and other related offences against a person",1999
127,Counties/Manukau District,"Robbery, extortion and related offences",1999
1058,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",1999
3255,Counties/Manukau District,Theft and related offences,1999
867,Counties/Manukau District,"Fraud, deception and related offences",1999
1689,Counties/Manukau District,Illicit drug offences,1999
531,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,1999
1496,Counties/Manukau District,Property damage and environmental pollution,1999
2618,Counties/Manukau District,Public order offences,1999
1677,Counties/Manukau District,"Offences against justice procedures, government security and government operations",1999
202,Counties/Manukau District,Miscellaneous offences,1999
8,Waikato District,Homicide and related offences,1999
1635,Waikato District,Acts intended to cause injury,1999
117,Waikato District,Sexual assault and related offences,1999
28,Waikato District,Dangerous or negligent acts endangering persons,1999
360,Waikato District,"Abduction, harassment and other related offences against a person",1999
88,Waikato District,"Robbery, extortion and related offences",1999
1422,Waikato District,"Unlawful entry with intent/burglary, break and enter",1999
3229,Waikato District,Theft and related offences,1999
957,Waikato District,"Fraud, deception and related offences",1999
2040,Waikato District,Illicit drug offences,1999
434,Waikato District,Prohibited and regulated weapons and explosives offences,1999
1344,Waikato District,Property damage and environmental pollution,1999
937,Waikato District,"Offences against justice procedures, government security and government operations",1999
12,Bay Of Plenty District,Homicide and related offences,1999
1848,Bay Of Plenty District,Acts intended to cause injury,1999
74,Bay Of Plenty District,Sexual assault and related offences,1999
30,Bay Of Plenty District,Dangerous or negligent acts endangering persons,1999
353,Bay Of Plenty District,"Abduction, harassment and other related offences against a person",1999
65,Bay Of Plenty District,"Robbery, extortion and related offences",1999
1090,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",1999
800,Bay Of Plenty District,"Fraud, deception and related offences",1999
2984,Bay Of Plenty District,Illicit drug offences,1999
426,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,1999
1456,Bay Of Plenty District,Property damage and environmental pollution,1999
2386,Bay Of Plenty District,Public order offences,1999
1376,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",1999
259,Bay Of Plenty District,Miscellaneous offences,1999
0,Hawkes Bay Area,Homicide and related offences,1999
1103,Hawkes Bay Area,Acts intended to cause injury,1999
32,Hawkes Bay Area,Sexual assault and related offences,1999
18,Hawkes Bay Area,Dangerous or negligent acts endangering persons,1999
256,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",1999
47,Hawkes Bay Area,"Robbery, extortion and related offences",1999
629,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",1999
1955,Hawkes Bay Area,Theft and related offences,1999
402,Hawkes Bay Area,"Fraud, deception and related offences",1999
1042,Hawkes Bay Area,Illicit drug offences,1999
185,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,1999
609,Hawkes Bay Area,Property damage and environmental pollution,1999
1140,Hawkes Bay Area,Public order offences,1999
768,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",1999
40,Hawkes Bay Area,Miscellaneous offences,1999
3,Tairawhiti Area,Homicide and related offences,1999
407,Tairawhiti Area,Acts intended to cause injury,1999
4,Tairawhiti Area,Dangerous or negligent acts endangering persons,1999
82,Tairawhiti Area,"Abduction, harassment and other related offences against a person",1999
16,Tairawhiti Area,"Robbery, extortion and related offences",1999
235,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",1999
656,Tairawhiti Area,Theft and related offences,1999
61,Tairawhiti Area,"Fraud, deception and related offences",1999
533,Tairawhiti Area,Illicit drug offences,1999
287,Tairawhiti Area,Property damage and environmental pollution,1999
431,Tairawhiti Area,Public order offences,1999
239,Tairawhiti Area,"Offences against justice procedures, government security and government operations",1999
35,Tairawhiti Area,Miscellaneous offences,1999
2,Manawatu Area,Homicide and related offences,1999
940,Manawatu Area,Acts intended to cause injury,1999
78,Manawatu Area,Sexual assault and related offences,1999
21,Manawatu Area,Dangerous or negligent acts endangering persons,1999
270,Manawatu Area,"Abduction, harassment and other related offences against a person",1999
44,Manawatu Area,"Robbery, extortion and related offences",1999
522,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",1999
2106,Manawatu Area,Theft and related offences,1999
490,Manawatu Area,"Fraud, deception and related offences",1999
1110,Manawatu Area,Illicit drug offences,1999
330,Manawatu Area,Prohibited and regulated weapons and explosives offences,1999
795,Manawatu Area,Property damage and environmental pollution,1999
1062,Manawatu Area,Public order offences,1999
667,Manawatu Area,"Offences against justice procedures, government security and government operations",1999
38,Manawatu Area,Miscellaneous offences,1999
3,Taranaki Area,Homicide and related offences,1999
795,Taranaki Area,Acts intended to cause injury,1999
35,Taranaki Area,Sexual assault and related offences,1999
27,Taranaki Area,Dangerous or negligent acts endangering persons,1999
222,Taranaki Area,"Abduction, harassment and other related offences against a person",1999
324,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",1999
1174,Taranaki Area,Theft and related offences,1999
481,Taranaki Area,"Fraud, deception and related offences",1999
909,Taranaki Area,Illicit drug offences,1999
150,Taranaki Area,Prohibited and regulated weapons and explosives offences,1999
532,Taranaki Area,Property damage and environmental pollution,1999
1033,Taranaki Area,Public order offences,1999
48,Taranaki Area,Miscellaneous offences,1999
1,Whanganui Area,Homicide and related offences,1999
648,Whanganui Area,Acts intended to cause injury,1999
41,Whanganui Area,Sexual assault and related offences,1999
20,Whanganui Area,Dangerous or negligent acts endangering persons,1999
162,Whanganui Area,"Abduction, harassment and other related offences against a person",1999
21,Whanganui Area,"Robbery, extortion and related offences",1999
335,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",1999
983,Whanganui Area,Theft and related offences,1999
237,Whanganui Area,"Fraud, deception and related offences",1999
593,Whanganui Area,Illicit drug offences,1999
185,Whanganui Area,Prohibited and regulated weapons and explosives offences,1999
441,Whanganui Area,Property damage and environmental pollution,1999
616,Whanganui Area,Public order offences,1999
605,Whanganui Area,"Offences against justice procedures, government security and government operations",1999
35,Whanganui Area,Miscellaneous offences,1999
5,Wellington District,Homicide and related offences,1999
2810,Wellington District,Acts intended to cause injury,1999
126,Wellington District,Sexual assault and related offences,1999
82,Wellington District,Dangerous or negligent acts endangering persons,1999
622,Wellington District,"Abduction, harassment and other related offences against a person",1999
103,Wellington District,"Robbery, extortion and related offences",1999
907,Wellington District,"Unlawful entry with intent/burglary, break and enter",1999
750,Wellington District,"Fraud, deception and related offences",1999
547,Wellington District,Prohibited and regulated weapons and explosives offences,1999
1711,Wellington District,Property damage and environmental pollution,1999
3013,Wellington District,Public order offences,1999
1950,Wellington District,"Offences against justice procedures, government security and government operations",1999
98,Wellington District,Miscellaneous offences,1999
2,Tasman District,Homicide and related offences,1999
1033,Tasman District,Acts intended to cause injury,1999
20,Tasman District,Dangerous or negligent acts endangering persons,1999
290,Tasman District,"Abduction, harassment and other related offences against a person",1999
26,Tasman District,"Robbery, extortion and related offences",1999
402,Tasman District,"Unlawful entry with intent/burglary, break and enter",1999
1575,Tasman District,Theft and related offences,1999
533,Tasman District,"Fraud, deception and related offences",1999
1385,Tasman District,Illicit drug offences,1999
289,Tasman District,Prohibited and regulated weapons and explosives offences,1999
751,Tasman District,Property damage and environmental pollution,1999
1370,Tasman District,Public order offences,1999
520,Tasman District,"Offences against justice procedures, government security and government operations",1999
54,Tasman District,Miscellaneous offences,1999
1,Marlborough Area,Homicide and related offences,1999
370,Marlborough Area,Acts intended to cause injury,1999
14,Marlborough Area,Sexual assault and related offences,1999
7,Marlborough Area,Dangerous or negligent acts endangering persons,1999
105,Marlborough Area,"Abduction, harassment and other related offences against a person",1999
5,Marlborough Area,"Robbery, extortion and related offences",1999
131,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",1999
522,Marlborough Area,Theft and related offences,1999
216,Marlborough Area,"Fraud, deception and related offences",1999
329,Marlborough Area,Illicit drug offences,1999
66,Marlborough Area,Prohibited and regulated weapons and explosives offences,1999
445,Marlborough Area,Public order offences,1999
217,Marlborough Area,"Offences against justice procedures, government security and government operations",1999
23,Marlborough Area,Miscellaneous offences,1999
1,Nelson Bays Area,Homicide and related offences,1999
480,Nelson Bays Area,Acts intended to cause injury,1999
20,Nelson Bays Area,Sexual assault and related offences,1999
5,Nelson Bays Area,Dangerous or negligent acts endangering persons,1999
119,Nelson Bays Area,"Abduction, harassment and other related offences against a person",1999
18,Nelson Bays Area,"Robbery, extortion and related offences",1999
820,Nelson Bays Area,Theft and related offences,1999
223,Nelson Bays Area,"Fraud, deception and related offences",1999
717,Nelson Bays Area,Illicit drug offences,1999
156,Nelson Bays Area,Prohibited and regulated weapons and explosives offences,1999
334,Nelson Bays Area,Property damage and environmental pollution,1999
605,Nelson Bays Area,Public order offences,1999
242,Nelson Bays Area,"Offences against justice procedures, government security and government operations",1999
24,Nelson Bays Area,Miscellaneous offences,1999
0,West Coast Area,Homicide and related offences,1999
183,West Coast Area,Acts intended to cause injury,1999
6,West Coast Area,Sexual assault and related offences,1999
8,West Coast Area,Dangerous or negligent acts endangering persons,1999
66,West Coast Area,"Abduction, harassment and other related offences against a person",1999
3,West Coast Area,"Robbery, extortion and related offences",1999
62,West Coast Area,"Unlawful entry with intent/burglary, break and enter",1999
233,West Coast Area,Theft and related offences,1999
94,West Coast Area,"Fraud, deception and related offences",1999
339,West Coast Area,Illicit drug offences,1999
67,West Coast Area,Prohibited and regulated weapons and explosives offences,1999
167,West Coast Area,Property damage and environmental pollution,1999
320,West Coast Area,Public order offences,1999
61,West Coast Area,"Offences against justice procedures, government security and government operations",1999
7,West Coast Area,Miscellaneous offences,1999
2419,Canterbury District,Acts intended to cause injury,1999
103,Canterbury District,Sexual assault and related offences,1999
69,Canterbury District,Dangerous or negligent acts endangering persons,1999
834,Canterbury District,"Abduction, harassment and other related offences against a person",1999
110,Canterbury District,"Robbery, extortion and related offences",1999
1418,Canterbury District,"Unlawful entry with intent/burglary, break and enter",1999
1523,Canterbury District,"Fraud, deception and related offences",1999
2293,Canterbury District,Illicit drug offences,1999
598,Canterbury District,Prohibited and regulated weapons and explosives offences,1999
2703,Canterbury District,Property damage and environmental pollution,1999
2885,Canterbury District,Public order offences,1999
1300,Canterbury District,"Offences against justice procedures, government security and government operations",1999
98,Canterbury District,Miscellaneous offences,1999
4,Otago Coastal Area,Homicide and related offences,1999
835,Otago Coastal Area,Acts intended to cause injury,1999
40,Otago Coastal Area,Sexual assault and related offences,1999
50,Otago Coastal Area,Dangerous or negligent acts endangering persons,1999
327,Otago Coastal Area,"Abduction, harassment and other related offences against a person",1999
28,Otago Coastal Area,"Robbery, extortion and related offences",1999
463,Otago Coastal Area,"Unlawful entry with intent/burglary, break and enter",1999
1980,Otago Coastal Area,Theft and related offences,1999
408,Otago Coastal Area,"Fraud, deception and related offences",1999
974,Otago Coastal Area,Illicit drug offences,1999
198,Otago Coastal Area,Prohibited and regulated weapons and explosives offences,1999
796,Otago Coastal Area,Property damage and environmental pollution,1999
1378,Otago Coastal Area,Public order offences,1999
414,Otago Coastal Area,"Offences against justice procedures, government security and government operations",1999
55,Otago Coastal Area,Miscellaneous offences,1999
1,Otago Lakes Central Area,Homicide and related offences,1999
176,Otago Lakes Central Area,Acts intended to cause injury,1999
4,Otago Lakes Central Area,Sexual assault and related offences,1999
5,Otago Lakes Central Area,Dangerous or negligent acts endangering persons,1999
22,Otago Lakes Central Area,"Abduction, harassment and other related offences against a person",1999
72,Otago Lakes Central Area,"Unlawful entry with intent/burglary, break and enter",1999
271,Otago Lakes Central Area,Theft and related offences,1999
144,Otago Lakes Central Area,"Fraud, deception and related offences",1999
306,Otago Lakes Central Area,Illicit drug offences,1999
40,Otago Lakes Central Area,Prohibited and regulated weapons and explosives offences,1999
184,Otago Lakes Central Area,Property damage and environmental pollution,1999
48,Otago Lakes Central Area,"Offences against justice procedures, government security and government operations",1999
36,Otago Lakes Central Area,Miscellaneous offences,1999
0,Southland Area,Homicide and related offences,1999
544,Southland Area,Acts intended to cause injury,1999
25,Southland Area,Sexual assault and related offences,1999
37,Southland Area,Dangerous or negligent acts endangering persons,1999
173,Southland Area,"Abduction, harassment and other related offences against a person",1999
28,Southland Area,"Robbery, extortion and related offences",1999
453,Southland Area,"Unlawful entry with intent/burglary, break and enter",1999
1443,Southland Area,Theft and related offences,1999
715,Southland Area,"Fraud, deception and related offences",1999
550,Southland Area,Illicit drug offences,1999
209,Southland Area,Prohibited and regulated weapons and explosives offences,1999
576,Southland Area,Property damage and environmental pollution,1999
1403,Southland Area,Public order offences,1999
327,Southland Area,"Offences against justice procedures, government security and government operations",1999
102,Southland Area,Miscellaneous offences,1999
3,Northland District,Homicide and related offences,2000
1129,Northland District,Acts intended to cause injury,2000
58,Northland District,Sexual assault and related offences,2000
21,Northland District,Dangerous or negligent acts endangering persons,2000
265,Northland District,"Abduction, harassment and other related offences against a person",2000
47,Northland District,"Robbery, extortion and related offences",2000
753,Northland District,"Unlawful entry with intent/burglary, break and enter",2000
1753,Northland District,Theft and related offences,2000
392,Northland District,"Fraud, deception and related offences",2000
1702,Northland District,Illicit drug offences,2000
765,Northland District,Property damage and environmental pollution,2000
1393,Northland District,Public order offences,2000
1049,Northland District,"Offences against justice procedures, government security and government operations",2000
48,Northland District,Miscellaneous offences,2000
12,Waitemata District,Homicide and related offences,2000
2594,Waitemata District,Acts intended to cause injury,2000
50,Waitemata District,Dangerous or negligent acts endangering persons,2000
929,Waitemata District,"Abduction, harassment and other related offences against a person",2000
121,Waitemata District,"Robbery, extortion and related offences",2000
1139,Waitemata District,"Unlawful entry with intent/burglary, break and enter",2000
3480,Waitemata District,Theft and related offences,2000
1293,Waitemata District,"Fraud, deception and related offences",2000
2747,Waitemata District,Illicit drug offences,2000
552,Waitemata District,Prohibited and regulated weapons and explosives offences,2000
1821,Waitemata District,Property damage and environmental pollution,2000
3023,Waitemata District,Public order offences,2000
1377,Waitemata District,"Offences against justice procedures, government security and government operations",2000
162,Waitemata District,Miscellaneous offences,2000
7,Auckland District,Homicide and related offences,2000
2119,Auckland District,Acts intended to cause injury,2000
180,Auckland District,Sexual assault and related offences,2000
24,Auckland District,Dangerous or negligent acts endangering persons,2000
413,Auckland District,"Abduction, harassment and other related offences against a person",2000
147,Auckland District,"Robbery, extortion and related offences",2000
1506,Auckland District,"Unlawful entry with intent/burglary, break and enter",2000
3554,Auckland District,Theft and related offences,2000
1439,Auckland District,"Fraud, deception and related offences",2000
2362,Auckland District,Illicit drug offences,2000
506,Auckland District,Prohibited and regulated weapons and explosives offences,2000
1386,Auckland District,Property damage and environmental pollution,2000
1553,Auckland District,"Offences against justice procedures, government security and government operations",2000
195,Auckland District,Miscellaneous offences,2000
10,Counties/Manukau District,Homicide and related offences,2000
3390,Counties/Manukau District,Acts intended to cause injury,2000
137,Counties/Manukau District,Sexual assault and related offences,2000
63,Counties/Manukau District,Dangerous or negligent acts endangering persons,2000
803,Counties/Manukau District,"Abduction, harassment and other related offences against a person",2000
136,Counties/Manukau District,"Robbery, extortion and related offences",2000
1971,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",2000
3458,Counties/Manukau District,Theft and related offences,2000
1684,Counties/Manukau District,Illicit drug offences,2000
474,Counties/Manukau District,Prohibited and regulated weapons and explosives offences,2000
1611,Counties/Manukau District,Property damage and environmental pollution,2000
2722,Counties/Manukau District,Public order offences,2000
