Year,Region,Population
2010,Marlborough Region,44600
2010,West Coast Region,32800
2010,Canterbury Region,567700
2010,Otago Region,204600
2011,Northland Region,162500
2011,Bay of Plenty Region,278200
2011,Gisborne Region,46800
2011,Hawke's Bay Region,157300
2011,Taranaki Region,111800
2011,Manawatu-Wanganui Region,231300
2011,Wellington Region,483400
2011,Tasman Region,48200
2011,West Coast Region,33100
2011,Canterbury Region,559300
2011,Otago Region,206600
2011,Southland Region,95700
2012,Northland Region,163500
2012,Waikato Region,421500
2012,Bay of Plenty Region,278800
2012,Taranaki Region,112700
2012,Manawatu-Wanganui Region,231200
2012,Wellington Region,485100
2012,Tasman Region,48600
2012,Nelson Region,48200
2012,West Coast Region,33100
2012,Canterbury Region,556000
2012,Southland Region,95900
2013,Northland Region,164700
2013,Waikato Region,424600
2013,Bay of Plenty Region,279700
2013,Gisborne Region,47000
2013,Hawke's Bay Region,158000
2013,Manawatu-Wanganui Region,231200
2013,Wellington Region,486700
2013,Nelson Region,48700
2013,Marlborough Region,44700
2013,Canterbury Region,562900
2013,Otago Region,208800
2013,Southland Region,96000
2014,Northland Region,168200
2014,Bay of Plenty Region,286100
2014,Gisborne Region,47500
2014,Hawke's Bay Region,160800
2014,Taranaki Region,115000
2014,Manawatu-Wanganui Region,234200
2014,Tasman Region,49700
2014,Nelson Region,49600
2014,Marlborough Region,45400
2014,West Coast Region,32900
2014,Southland Region,96800
2015,Northland Region,172100
2015,Waikato Region,442100
2015,Bay of Plenty Region,293200
2015,Gisborne Region,48100
2015,Taranaki Region,116600
2015,Manawatu-Wanganui Region,237400
2015,Wellington Region,501800
2015,Tasman Region,50700
2015,Marlborough Region,46200
2015,West Coast Region,32800
2015,Canterbury Region,585600
2015,Southland Region,97700
2016,Northland Region,176400
2016,Waikato Region,452800
2016,Gisborne Region,48800
2016,Hawke's Bay Region,166900
2016,Taranaki Region,118500
2016,Manawatu-Wanganui Region,241100
2016,Tasman Region,51900
2016,Nelson Region,51400
2016,Marlborough Region,47100
2016,Canterbury Region,601900
2016,Otago Region,223100
2017,Northland Region,181200
2017,Waikato Region,465000
2017,Bay of Plenty Region,311500
2017,Gisborne Region,49200
2017,Hawke's Bay Region,169700
2017,Taranaki Region,120000
2017,Wellington Region,518300
2017,Tasman Region,53000
2017,Nelson Region,52000
2017,West Coast Region,32700
2017,Canterbury Region,614300
2017,Southland Region,99900
2018,Waikato Region,475600
2018,Bay of Plenty Region,320800
2018,Gisborne Region,49500
2018,Hawke's Bay Region,172400
2018,Taranaki Region,121200
2018,Manawatu-Wanganui Region,247500
2018,Wellington Region,525900
2018,Tasman Region,54000
2018,Nelson Region,52700
2018,West Coast Region,32400
2018,Canterbury Region,622800
2018,Southland Region,100500
2019,Bay of Plenty Region,328200
2019,Gisborne Region,50200
2019,Hawke's Bay Region,174900
2019,Taranaki Region,123100
2019,Manawatu-Wanganui Region,250600
2019,Wellington Region,532600
2019,Tasman Region,54900
2019,Nelson Region,53400
2019,Marlborough Region,49300
2019,West Coast Region,32500
2019,Canterbury Region,631700
2019,Otago Region,239400
2020,Northland Region,194600
2020,Hawke's Bay Region,180000
2020,Taranaki Region,125200
2020,Manawatu-Wanganui Region,254600
2020,Wellington Region,542100
2020,Tasman Region,57300
2020,Nelson Region,54900
2020,Marlborough Region,51300
2020,West Coast Region,32800
2020,Canterbury Region,644000
2020,Otago Region,245000
2020,Southland Region,102800
2021,Northland Region,198900
2021,Waikato Region,508400
2021,Bay of Plenty Region,344000
2021,Wellington Region,543700
2021,Tasman Region,58100
2021,Nelson Region,54700
2021,Marlborough Region,51600
2021,West Coast Region,32900
2021,Canterbury Region,650200
2021,Otago Region,244600
2021,Southland Region,102500
2022,Northland Region,201500
2022,Waikato Region,513800
2022,Bay of Plenty Region,347700
2022,Gisborne Region,52100
2022,Taranaki Region,127300
2022,Manawatu-Wanganui Region,258200
2022,Tasman Region,58700
2022,West Coast Region,32700
2022,Canterbury Region,655000
2022,Otago Region,246000
2022,Southland Region,102400
